SMM4H2022yW4mXhmCE9gh1B7b	ADE	28	37	allergies	10013661
SMM4H2022afMxPjtHKyItF0n3	ADE	31	46	HURT YOUR Liver	10024668
SMM4H2022dc1lWHnZeBy441B8	ADE	48	50	AD	10003731
SMM4H2022dc1lWHnZeBy441B8	ADE	88	93	focus	10003738
SMM4H2022ExV2GXXaqhGjJNFM	ADE	11	15	died	10011906
SMM4H2022dZ7ZqyvGqxh0jKeH	ADE	40	44	died	10011906
SMM4H202221svYY3nNe8z5jdE	ADE	66	79	tendon damage	10043242
SMM4H2022TktK7f4NNPqLzVWl	ADE	26	32	dreams	10004969
SMM4H2022E8PLU8eznkYN0dlx	ADE	84	98	tendon rupture	10043248
SMM4H2022FxzK9r9cEII1gmaJ	ADE	101	111	withdrawal	10048010
SMM4H20222QPvF36FzxCLJe8l	ADE	13	27	emotional mess	10049119
SMM4H2022o9R8zCvDwlfSI87k	ADE	17	29	not remember	10027176
SMM4H2022o9R8zCvDwlfSI87k	ADE	84	96	memory lapse	10027174
SMM4H20224CdAz4uAODp4fESt	ADE	5	8	nap	10041349
SMM4H2022aJS4BaMKlXI0KeI5	ADE	71	82	psychedelic	10070679
SMM4H2022LsJR4tzc0A5eTQB4	ADE	94	100	mashed	10070679
SMM4H2022H46enMioMkbcxr0A	ADE	66	77	space cadet	10041374
SMM4H202247Y6GjkNElgjxDKM	ADE	38	51	illness worse	10021345
SMM4H202247Y6GjkNElgjxDKM	ADE	72	81	can't eat	10003030
SMM4H2022nAYZ3hTd7VxYMKZC	ADE	30	38	allergic	10013661
SMM4H2022pJ8eplYSKrDUKhBg	ADE	127	138	withdrawals	10048010
SMM4H2022VlNSwqfn2B6lekK9	ADE	41	47	hungry	10016336
SMM4H2022q1fnCS4S7ckk1qUv	ADE	104	114	joint pain	10023222
SMM4H2022uycEAFWkndlu2r3e	ADE	61	68	fistula	10016717
SMM4H2022uycEAFWkndlu2r3e	ADE	123	140	painful reactions	10033371
SMM4H2022LCONWDHIHZaerIEz	ADE	98	105	fatigue	10016256
SMM4H2022LCONWDHIHZaerIEz	ADE	113	117	achy	10000424
SMM4H20220Fn1PRrRkP70pjI5	ADE	112	119	fatigue	10016256
SMM4H20220Fn1PRrRkP70pjI5	ADE	127	131	achy	10000424
SMM4H2022XbBn71ec15IlmpA6	ADE	39	48	no immune	10021425
SMM4H2022Bi2Q3tParwQAMrQw	ADE	12	24	nerve damage	10029177
SMM4H2022Bi2Q3tParwQAMrQw	ADE	35	42	MS like	10028055
SMM4H20222nZuTHzcSXK4tHEI	ADE	89	93	pain	10033371
SMM4H20222nZuTHzcSXK4tHEI	ADE	98	106	weakness	10047862
SMM4H20222nZuTHzcSXK4tHEI	ADE	117	124	seizure	10039906
SMM4H2022WPMAm8luy2rAnnkt	ADE	52	58	rashes	10062948
SMM4H202223uXsizc5NBoDgvf	ADE	12	45	hair is... definitely falling out	10019045
SMM4H2022DZZGRzJU8WWUg9Fk	ADE	90	94	sick	10016365
SMM4H2022to1NDtQK9OtX5hbL	ADE	63	72	depressed	10012374
SMM4H20224RFxlkutkRb6Rr0v	ADE	36	45	addictive	10012336
SMM4H20224RFxlkutkRb6Rr0v	ADE	98	110	days of hell	10016370
SMM4H2022wM2cmNxhBwLShHOr	ADE	38	46	allergic	10013661
SMM4H2022zwCw5i9D4QwcpoJB	ADE	53	64	can't think	10043436
SMM4H2022zwCw5i9D4QwcpoJB	ADE	69	82	see) straight	10047508
SMM4H2022RpwkbQu6C4iXgfED	ADE	31	41	starvation	10003030
SMM4H2022TOpE89MiTeVZO5vc	ADE	27	43	increases hunger	10020466
SMM4H2022nT2Q2V7WhOgsnPtn	ADE	45	51	dreams	10004969
SMM4H2022T285CGUbAztuICzu	ADE	37	40	fat	10047896
SMM4H2022T285CGUbAztuICzu	ADE	83	93	hand shake	10040530
SMM4H2022txhtlGpbJiWfmpXF	ADE	110	125	stopped working	10043087
SMM4H2022mGz22Q36Ay7iZyFM	ADE	91	119	Getting out of bed is haaard	10012378
SMM4H2022XEeq5GabAipd8xoh	ADE	3	25	creativity was blocked	10027374
SMM4H2022b7AKevauj96s00f5	ADE	43	46	w/d	10048010
SMM4H2022uaeS5t9HRmRkv0HA	ADE	36	42	drowsy	10013649
SMM4H2022uaeS5t9HRmRkv0HA	ADE	43	47	haze	10017565
SMM4H2022Qo22ZzlKgHszxhmQ	ADE	64	74	brain zaps	10033775
SMM4H2022Qo22ZzlKgHszxhmQ	ADE	90	110	genitals aren't numb	10059272
SMM4H20220SEypP61C1BmCZC3	ADE	102	107	detox	10061814
SMM4H2022Oa6I8EtPkyDJd41n	ADE	24	37	facial spasms	10063006
SMM4H2022Oa6I8EtPkyDJd41n	ADE	68	71	eye	10041384
SMM4H2022NI5d1UHevv5Gy02R	ADE	51	56	awake	10041014
SMM4H2022QAxE14vIZVwsF3QR	ADE	17	26	out of it	10041374
SMM4H2022QAxE14vIZVwsF3QR	ADE	47	56	doping up	10070679
SMM4H2022D8UrISRBTtsFUR7I	ADE	0	7	-9.5lbs	10047900
SMM4H20227Rn12JLGfr7YzqFT	ADE	107	132	horrid intrusive thoughts	10077275
SMM4H20222xKrdNCWviBUA9Iy	ADE	71	79	allergic	10013661
SMM4H2022benpjPl9VmEGvKI9	ADE	25	30	sleep	10041014
SMM4H2022yO9PYUGtKH9L26Qa	ADE	123	136	hallucinating	10019062
SMM4H20228boNxgDfjPD6Ck9v	ADE	89	98	dry mouth	10013781
SMM4H2022CGCQVPPRqdgWYdT0	ADE	116	138	20 hours a day, asleep	10041349
SMM4H2022K1pBLeXqKK6c9Kea	ADE	55	71	prolactin levels	10036826
SMM4H2022K1pBLeXqKK6c9Kea	ADE	83	98	boobs humungous	10014843
SMM4H2022QDw0RUIGiiSF06Si	ADE	57	75	knee still painful	10023477
SMM4H2022QDw0RUIGiiSF06Si	ADE	77	86	Back ache	10003978
SMM4H2022mJE7B68NciZl6Ec3	ADE	32	47	Lower back ache	10024890
SMM4H2022mJE7B68NciZl6Ec3	ADE	49	58	neck ache	10028836
SMM4H2022mJE7B68NciZl6Ec3	ADE	60	64	hips	10033432
SMM4H2022mJE7B68NciZl6Ec3	ADE	69	79	knees ache	10023477
SMM4H2022mJE7B68NciZl6Ec3	ADE	81	96	short of breath	10040604
SMM4H2022ztEzLQkm4v7rc5Xy	ADE	42	50	backache	10003978
SMM4H2022fE3HMexQbOOyry9r	ADE	26	49	muscle &amp; back pains	10028322
SMM4H2022fE3HMexQbOOyry9r	ADE	39	49	back pains	10003988
SMM4H2022D8p9FUdZH4VNqDvl	ADE	109	124	not remembering	10017060
SMM4H2022qeMxbvH69elnrSxO	ADE	81	91	drowsiness	10013649
SMM4H2022bf8sD2fJDMAUkHoQ	ADE	34	78	sleep on my own. but i got at least 16 hours	10041014
SMM4H2022VCgadl0A1WwurEKR	ADE	67	80	sugar crashes	10005808
SMM4H2022VCgadl0A1WwurEKR	ADE	107	115	feel ill	10021345
SMM4H2022OHXhXMEFXXeB5ckX	ADE	61	74	won't wake up	10019158
SMM4H2022EHC8K4XsHVygHMUn	ADE	9	21	not remember	10017060
SMM4H2022LLbPKQqYcsYyYceo	ADE	91	126	feels like I have raw nerve endings	10021681
SMM4H2022dWRKt5ZNZcqhL3og	ADE	88	115	sleep for 12 straight hours	10041000
SMM4H2022BeKCxEcFC6g1Yf7S	ADE	84	104	urge to procure food	10021654
SMM4H2022OMnjRitKpo8qpeNJ	ADE	92	102	dependence	10013663
