SMM4H2022yW4mXhmCE9gh1B7b	ADE	28	37	allergies
SMM4H2022afMxPjtHKyItF0n3	ADE	31	46	HURT YOUR Liver
SMM4H2022dc1lWHnZeBy441B8	ADE	48	50	AD
SMM4H2022dc1lWHnZeBy441B8	ADE	88	93	focus
SMM4H2022ExV2GXXaqhGjJNFM	ADE	11	15	died
SMM4H2022dZ7ZqyvGqxh0jKeH	ADE	40	44	died
SMM4H202221svYY3nNe8z5jdE	ADE	66	79	tendon damage
SMM4H2022TktK7f4NNPqLzVWl	ADE	26	32	dreams
SMM4H2022E8PLU8eznkYN0dlx	ADE	84	98	tendon rupture
SMM4H2022FxzK9r9cEII1gmaJ	ADE	101	111	withdrawal
SMM4H20222QPvF36FzxCLJe8l	ADE	13	27	emotional mess
SMM4H2022o9R8zCvDwlfSI87k	ADE	17	29	not remember
SMM4H2022o9R8zCvDwlfSI87k	ADE	84	96	memory lapse
SMM4H20224CdAz4uAODp4fESt	ADE	5	8	nap
SMM4H2022aJS4BaMKlXI0KeI5	ADE	71	82	psychedelic
SMM4H2022LsJR4tzc0A5eTQB4	ADE	94	100	mashed
SMM4H2022H46enMioMkbcxr0A	ADE	66	77	space cadet
SMM4H202247Y6GjkNElgjxDKM	ADE	38	51	illness worse
SMM4H202247Y6GjkNElgjxDKM	ADE	72	81	can't eat
SMM4H2022nAYZ3hTd7VxYMKZC	ADE	30	38	allergic
SMM4H2022pJ8eplYSKrDUKhBg	ADE	127	138	withdrawals
SMM4H2022VlNSwqfn2B6lekK9	ADE	41	47	hungry
SMM4H2022q1fnCS4S7ckk1qUv	ADE	104	114	joint pain
SMM4H2022uycEAFWkndlu2r3e	ADE	61	68	fistula
SMM4H2022uycEAFWkndlu2r3e	ADE	123	140	painful reactions
SMM4H2022LCONWDHIHZaerIEz	ADE	98	105	fatigue
SMM4H2022LCONWDHIHZaerIEz	ADE	113	117	achy
SMM4H20220Fn1PRrRkP70pjI5	ADE	112	119	fatigue
SMM4H20220Fn1PRrRkP70pjI5	ADE	127	131	achy
SMM4H2022XbBn71ec15IlmpA6	ADE	39	48	no immune
SMM4H2022Bi2Q3tParwQAMrQw	ADE	12	24	nerve damage
SMM4H2022Bi2Q3tParwQAMrQw	ADE	35	42	MS like
SMM4H20222nZuTHzcSXK4tHEI	ADE	89	93	pain
SMM4H20222nZuTHzcSXK4tHEI	ADE	98	106	weakness
SMM4H20222nZuTHzcSXK4tHEI	ADE	117	124	seizure
SMM4H2022WPMAm8luy2rAnnkt	ADE	52	58	rashes
SMM4H202223uXsizc5NBoDgvf	ADE	12	45	hair is... definitely falling out
SMM4H2022DZZGRzJU8WWUg9Fk	ADE	90	94	sick
SMM4H2022to1NDtQK9OtX5hbL	ADE	63	72	depressed
SMM4H20224RFxlkutkRb6Rr0v	ADE	36	45	addictive
SMM4H20224RFxlkutkRb6Rr0v	ADE	98	110	days of hell
SMM4H2022wM2cmNxhBwLShHOr	ADE	38	46	allergic
SMM4H2022zwCw5i9D4QwcpoJB	ADE	53	64	can't think
SMM4H2022zwCw5i9D4QwcpoJB	ADE	69	82	see) straight
SMM4H2022RpwkbQu6C4iXgfED	ADE	31	41	starvation
SMM4H2022TOpE89MiTeVZO5vc	ADE	27	43	increases hunger
