	tweet_id	label	user_id	text	created_at
6732	1266955337187373062	0			
11720	805919453728952320	0			
9381	1314886886910054403	0			
14082	936776593812234242	0			
12369	999655019602329603	1			
6159	883309487049900032	1	2363887313.0	@jimmygriffins69 Vape... I started at 18 mg of nicotine, now down to 6mg .. it works.	7/7/2017 12:59:27 PM
12360	1250672567817469959	0			
11338	1262485244361560066	0			
8118	1247835828681879557	0			
4475	788457577717858304	0	2987284660.0	Robitussin® makes me feel better by delivers fast powerful cough relief #sponsored #nogoodcough https://t.co/snRJeMjDBr	10/18/2016 7:11:50 PM
10236	1243369880549818372	0			
1097	904563544049496064	0	1685080260.0	Yeeesss my benedryl is kicking in	9/4/2017 4:35:29 AM
4741	573264354130321409	0	105902325.0	Imagine a society, no, a world that openly talks abt #sexuality w/o shame.#BirthControl wud be as normal as picking up a bottle of aspirin	3/4/2015 11:30:47 PM
738	565007536580210688	0			
3783	836025691456045057	1	1191519055.0	I will never take oxycodone again. The dr prescribed it to me for pain for my foot &amp; I've never been so dizzy/sick in my life from medicine	2/27/2017 1:30:32 AM
5365	1155980163814850566	0			
8082	1297607455879442439	0			
9434	1125975080519991298	0			
3349	861261770048098306	0	231954801.0	"RT @MosqueMaryam: ""Estradiol is the chemical used in transgender therapy.""--- @wesleymuhammad #NOISundays"	5/7/2017 4:49:42 PM
2265	1137918995615625217	0			
11884	1262810525873901569	0			
6865	894846606750732289	0	239982538.0	@PredatorDiaries @fwpharma On the subject of Gx, I've always wondered why my Dad still gets Lipitor for his high ch… https://t.co/ZIDdmTsvvY	8/8/2017 12:00:00 AM
12234	1025207614978883585	1			
4013	1192589527593844737	0			
14449	1273419731958104071	0			
9859	970643123079712770	0			
3812	780287783487275008	0	7.62340080015016e+17	The inventor of the throat lozenge died today... There will be no coffin at the funeral.	9/26/2016 6:07:59 AM
8494	1325134125292990471	0			
1567	1243980956806995975	0			
8912	1251204053759135748	0			
7479	875324212457680899	0			
1261	1219824190217433093	0			
7	1242664178252255236	0			
6368	1227615570130067459	0			
3873	903050288587837440	0	579304711.0	Lidocaine patch abdominal pain - https://t.co/VEnGhKKOhd	8/31/2017 12:22:21 AM
2461	958351673981833216	0			
14860	1302874011517349888	0			
11804	664978186137006080	0			
6469	658675885050990592	0	1108096632.0	@britDbest take excederin migraine usually what i use to take because i get migraines 3-4 times a week	10/26/2015 4:05:43 PM
3569	779030903435759616	0	475402134.0	When you can't take nothing but Tylenol but Tylenol does no justice 😖 I really have a terrible headache 😓	9/22/2016 6:53:35 PM
641	691039855539679232	0	238862387.0	Worst part is I can't take Benedryl cause I'm the only one home. 😣	1/23/2016 11:28:35 PM
2226	1010634917120749571	0			
6500	1262889171506642956	0			
6209	1048427234128625664	0			
4703	910020623992262657	0	8.562675989206016e+17	It takes me longer to get faded off Lipitor w me.	9/19/2017 12:00:00 AM
512	904148294829568000	0	867077270.0	I didn't want to go on Lipitor for the rest of my life, so I tried something else -- and it's working!… https://t.co/UuX5uAkn6J	9/3/2017 12:00:00 AM
77	908729395925438471	0	8.500562461367747e+17	"@feral_wank_ ""this fucking robitussin""""hair caught fire""""frozen tennis balls""am i doing this right"	9/15/2017 4:29:06 PM
5272	1337559187052777478	0			
2673	933495053682642949	0			
5126	701017714463109121	0	561858387.0	Just casually up at 4:16 am waiting for my aspirin to kick in	2/20/2016 12:17:02 PM
5270	1278799301926432778	0			
4581	920336178477436930	0			
1438	681629638762840064	0	356443967.0	pop A xan , w/ a pineapple Fanta 😈	12/29/2015 12:15:44 AM
6750	944709756102553606	0	3260049931.0	@Toniann561 @brhodes @FoxNews Sorry to bust that bubble I don't watch @FoxNews &amp; thanks for reminding me to take my Crestor.	12/23/2017 12:00:00 AM
3507	787040836814901248	0	3106250614.0	i need a xanax &amp; about 3 straight days of sleep.	10/14/2016 9:22:12 PM
4545	1255306357768630279	0			
2915	1262488195775766532	0			
